Voltage(V)	Runtime
9.08		196955
9.08		197071
9.08		197187
9.08		197304
9.08		197421
9.08		197537
9.08		197654
9.08		197770
9.08		197886
9.08		198003
9.08		198119
9.08		198237
9.08		198352
9.08		198469
9.08		198586
9.08		198703
9.08		198818
9.08		198935
9.08		199052
9.08		199169
9.08		199285
9.08		199401
9.08		199518
9.08		199634
9.08		199751
9.08		199868
9.08		199984
9.08		200100
9.08		200217
9.08		200334
9.08		200451
9.08		200566
9.08		200686
9.08		200802
9.08		200919
9.08		201035
9.08		201152
9.08		201269
9.08		201384
9.08		201501
9.08		201618
9.08		201735
9.08		201851
9.08		201967
9.08		202084
9.08		202201
9.08		202317
9.08		202434
9.08		202550
9.08		202667
9.08		202783
9.08		202899
9.08		203017
9.08		203132
9.08		203249
9.08		203366
9.08		203482
9.08		203598
9.08		203715
9.08		203832
9.08		203949
9.08		204064
9.08		204181
9.08		204298
9.08		204414
9.08		204531
9.08		204647
9.08		204764
9.08		204880
9.08		204999
9.08		205116
9.08		205233
9.08		205349
9.08		205465
9.08		205582
9.08		205699
9.08		205815
9.08		205932
9.08		206048
9.08		206164
9.08		206281
9.08		206398
9.08		206515
9.08		206630
9.08		206747
9.08		206864
9.08		206981
9.08		207096
9.08		207213
9.08		207330
9.08		207447
9.08		207563
9.08		207679
9.08		207796
9.08		207912
9.08		208029
9.08		208146
9.08		208262
9.08		208378
9.08		208495
9.08		208612
9.08		208729
9.08		208844
9.08		208961
9.08		209078
9.08		209197
9.08		209313
9.08		209430
9.08		209547
9.08		209662
9.08		209779
9.08		209896
9.08		210013
9.08		210129
9.08		210245
9.08		210362
9.08		210479
9.08		210595
9.08		210712
9.08		210828
9.08		210945
9.08		211061
9.08		211177
9.08		211295
9.08		211410
9.08		211527
9.08		211644
9.08		211760
9.08		211876
9.08		211993
9.08		212110
9.08		212227
9.08		212342
9.08		212459
9.08		212576
9.08		212692
9.08		212809
9.08		212925
9.08		213042
9.08		213158
9.08		213275
9.08		213392
9.08		213511
9.08		213627
9.08		213743
9.08		213860
9.08		213977
9.08		214093
9.08		214210
9.08		214326
9.08		214443
9.08		214559
9.08		214676
9.08		214793
9.08		214908
9.08		215025
9.08		215142
9.08		215259
9.08		215374
9.08		215491
9.08		215608
9.08		215725
9.08		215841
9.08		215957
9.08		216074
9.08		216190
9.08		216307
9.08		216424
9.08		216540
9.08		216656
9.08		216773
9.08		216890
9.08		217007
9.08		217122
9.08		217239
9.08		217356
9.08		217473
9.08		217589
9.08		217708
9.08		217825
9.08		217940
9.08		218057
9.08		218174
9.08		218291
9.08		218407
9.08		218523
9.08		218640
9.08		218757
9.08		218873
9.08		218990
9.08		219106
9.08		219223
9.08		219339
9.08		219455
9.08		219573
9.08		219688
9.08		219805
9.08		219922
9.08		220038
9.08		220154
9.08		220271
9.08		220388
9.08		220505
9.08		220620
9.08		220737
9.08		220854
9.08		220971
9.08		221087
9.08		221203
9.08		221320
9.08		221436
9.08		221552
9.08		221670
9.08		221786
9.08		221902
9.08		222021
9.08		222138
9.08		222255
9.08		222371
9.08		222488
9.08		222604
9.08		222721
9.08		222837
9.08		222953
9.08		223071
9.08		223186
9.08		223303
9.08		223420
9.08		223536
9.08		223652
9.08		223769
9.08		223886
9.08		224003
9.08		224118
9.08		224235
9.08		224352
9.08		224468
9.08		224585
9.08		224701
9.08		224818
9.08		224934
9.08		225051
9.08		225168
9.08		225284
9.08		225400
9.08		225517
9.08		225634
9.08		225750
9.08		225866
9.08		225983
9.08		226100
9.08		226219
9.08		226335
9.08		226452
9.08		226569
9.08		226684
9.08		226801
9.08		226918
9.08		227034
9.08		227151
9.08		227267
9.08		227384
9.08		227501
9.08		227616
9.08		227733
9.08		227850
9.08		227966
9.08		228083
9.08		228199
9.08		228316
9.08		228432
9.08		228549
9.08		228666
9.08		228782
9.08		228898
9.08		229015
9.08		229132
9.08		229249
9.08		229364
9.08		229481
9.08		229598
9.08		229714
9.08		229830
9.08		229947
9.08		230064
9.08		230180
9.08		230297
9.08		230413
9.08		230533
9.08		230649
9.08		230765
9.08		230882
9.08		230999
9.08		231115
9.08		231231
9.08		231348
9.08		231464
9.08		231581
9.08		231698
9.08		231814
9.08		231930
9.08		232047
9.08		232164
9.08		232280
9.08		232396
9.08		232513
9.08		232630
9.08		232747
9.08		232863
9.08		232979
9.08		233096
9.08		233212
9.08		233328
